ID,Distributor Name,Location,Car Name,Manufacturer Name,Car Type,Color,Gearbox,Number of Seats,Number of Doors,Energy,Manufactured Year,Price,Mileage,Engine Power,Purchased Date,Car Sale Status,Sold Date,Purchased Price,Sold Price,Margin,Sales Agent Name,Sales Rating,Sales Commission,Feedback
4988e041-79c6-411c-8ac9-c3e17b7712ac,Distributor A,Location X,Model Z,Manufacturer B,SUV,White,Manual,7,4,Electric,2021,9300,68437,99,2019-05-01,Un Sold,,8620,,,Agent A,5,0,Excellent
0e8e7a1f-b5fe-4001-b8ce-5a510ef9a22e,Distributor B,Location X,Model Z,Manufacturer C,Truck,White,Automatic,5,4,Electric,2016,9300,37130,96,2016-07-30,Un Sold,,8715,,,Agent D,4,0,Excellent
152ff071-326d-4878-9ee3-0fefb6fafe88,Distributor A,Location Z,Model Z,Manufacturer B,Truck,Blue,Automatic,4,5,Petrol,2016,7800,17972,95,2022-03-31,Un Sold,,6957,,,Agent B,3,0,Average
18e393e0-1d6d-4d45-9887-c21f1114f3e2,Distributor C,Location Z,Model X,Manufacturer A,Truck,Gray,Automatic,4,4,Hybrid,2022,8200,50353,110,2017-02-27,Sold,2017-09-16,7509,7510,0.013317352510320946,Agent E,1,0.002,Excellent
19374c12-a58d-4a2a-9714-95c3fbb19eb8,Distributor A,Location W,Model Y,Manufacturer C,Convertible,Red,Automatic,5,2,Petrol,2023,8600,22554,94,2018-01-27,Un Sold,,7773,,,Agent C,5,0,Poor
7079646e-dc03-4d85-8818-27e20373e97f,Distributor D,Location Z,Model X,Manufacturer C,Truck,Gray,Manual,5,4,Petrol,2018,7600,72489,94,2023-10-28,Un Sold,,6670,,,Agent D,3,0,Average
bbb38fd1-aaaf-4a96-8a9e-fd600befd343,Distributor D,Location Y,Model X,Manufacturer A,Truck,Red,Manual,4,5,Hybrid,2020,8400,51056,101,2019-04-04,Sold,2023-05-15,7580,7565,-0.1978891820580475,Agent E,1,0,Good
84511866-bc4b-4cc1-87ea-ae780bbd9d2d,Distributor D,Location Y,Model Y,Manufacturer C,Truck,White,Manual,5,4,Electric,2022,8700,46311,108,2022-11-07,Un Sold,,7861,,,Agent B,3,0,Excellent
861a14f4-7eeb-455d-81aa-1bb06fecd017,Distributor A,Location X,Model Z,Manufacturer A,Truck,Black,Automatic,5,2,Electric,2022,8700,3786,101,2020-05-19,Un Sold,,7637,,,Agent E,1,0,Good
423dfc8c-7bc6-45e6-88ef-3b450f67d05e,Distributor B,Location Z,Model Z,Manufacturer B,SUV,Blue,Automatic,5,2,Electric,2021,9300,59149,95,2015-11-01,Un Sold,,8385,,,Agent C,3,0,Average
36933e11-4669-49e2-9afc-44fef040f7a3,Distributor D,Location X,Model Y,Manufacturer C,Truck,White,Automatic,5,4,Petrol,2018,7600,37062,205,2017-09-03,Un Sold,,6843,,,Agent A,2,0,Good
b5cf8209-7d0f-4263-a534-caf88e861cd9,Distributor B,Location X,Model X,Manufacturer C,SUV,White,Automatic,4,5,Diesel,2017,8300,58000,330,2021-06-16,Un Sold,,6317,,,Agent B,4,0,Average
12537919-51e5-41dc-a9ac-f9052a3ed8a1,Distributor A,Location W,Model Z,Manufacturer B,SUV,Black,Automatic,5,4,Diesel,2024,7600,1785,304,2021-05-11,Un Sold,,6148,,,Agent C,3,0,Good
8f4daa86-64d3-4401-a8c0-d7b3f6b53ff1,Distributor C,Location Y,Model Z,Manufacturer A,Truck,Blue,Manual,5,4,Hybrid,2024,8000,3444,102,2019-07-06,Un Sold,,6368,,,Agent B,3,0,Excellent
9e0eaec7-b83a-44dd-86df-d3bbfc2c6d68,Distributor C,Location Z,Model X,Manufacturer B,Truck,Blue,Automatic,5,5,Petrol,2024,7000,23497,90,2020-03-21,Un Sold,,5206,,,Agent D,5,0,Average
ca520871-f0ba-43ad-a521-43a05844ab01,Distributor D,Location X,Model X,Manufacturer B,Truck,Gray,Automatic,5,5,Electric,2023,8600,151758,109,2018-08-01,Un Sold,,7363,,,Agent B,5,0,Excellent
6c76db4c-064c-4d9b-9c15-5da12c23270b,Distributor D,Location W,Model Y,Manufacturer A,Truck,Red,Automatic,5,4,Petrol,2020,7400,5713,140,2023-12-28,Un Sold,,6051,,,Agent B,2,0,Excellent
f21daa9f-175e-496a-9609-550c59291933,Distributor B,Location Z,Model Y,Manufacturer A,SUV,Red,Automatic,5,4,Petrol,2017,8200,843003,99,2016-10-07,Un Sold,,6519,,,Agent B,1,0,Excellent
dc629a15-e521-4815-acfd-c498ec30ba37,Distributor B,Location W,Model Y,Manufacturer A,Truck,Blue,Automatic,4,4,Petrol,2020,7400,25224,94,2018-08-20,Un Sold,,6884,,,Agent B,1,0,Good
6f20730d-d4bb-43c7-ab82-c4cd2cbbb545,Distributor D,Location X,Model Y,Manufacturer C,Truck,Black,Manual,4,4,Diesel,2017,7800,127545,106,2022-09-27,Un Sold,,6200,,,Agent D,1,0,Excellent
21bbf387-4d9e-47f8-84bf-0725a2f0159b,Distributor A,Location X,Model Y,Manufacturer C,Sedan,Gray,Automatic,5,2,Petrol,2023,6600,67637,99,2016-11-30,Un Sold,,4975,,,Agent D,5,0,Good
af582032-a681-42f0-859a-ffe88f91a486,Distributor B,Location W,Model Y,Manufacturer A,Truck,Blue,Automatic,4,4,Petrol,2015,7900,5921,101,2020-07-17,Un Sold,,6772,,,Agent D,4,0,Average
42bd4e04-0317-483f-9666-b7d492889f39,Distributor C,Location X,Model X,Manufacturer C,Truck,Gray,Manual,7,4,Hybrid,2016,8800,712759,172,2024-05-30,Sold,2024-06-24,7455,7459,0.05365526492287055,Agent C,4,0.008,Poor
ea5ce3b9-de26-4c3d-9b67-b8986a4f066a,Distributor B,Location Z,Model Z,Manufacturer B,Truck,Black,Automatic,5,2,Hybrid,2024,8000,24579,98,2022-02-16,Un Sold,,6184,,,Agent D,2,0,Good
7d021e16-0e92-48c6-a36b-7f310e5c399b,Distributor C,Location X,Model Z,Manufacturer C,Hatchback,Red,Manual,7,5,Diesel,2016,6900,45665,270,2017-03-15,Un Sold,,5349,,,Agent B,5,0,Average
a7ff0018-b249-4d82-9709-a7678c9897c3,Distributor C,Location Z,Model X,Manufacturer C,Truck,Gray,Manual,4,4,Hybrid,2019,8500,71557,115,2017-01-16,Un Sold,,7869,,,Agent E,5,0,Good
6d68104e-1ec3-4048-83a0-039441999f50,Distributor B,Location X,Model X,Manufacturer A,Sedan,Black,Automatic,4,4,Electric,2018,8600,68207,108,2019-04-10,Un Sold,,7080,,,Agent E,3,0,Excellent
86ab326c-3a76-4591-9a50-4ef6c4647903,Distributor C,Location Z,Model Y,Manufacturer C,Truck,Gray,Automatic,5,4,Electric,2015,9400,52867,102,2018-12-21,Un Sold,,8253,,,Agent D,5,0,Average
d2741870-ee17-423b-9f6e-da906b6cfbc7,Distributor D,Location X,Model Z,Manufacturer C,Truck,Black,Manual,4,5,Electric,2022,8700,51335,108,2019-11-04,Un Sold,,6729,,,Agent A,2,0,Good
c2860bde-77ce-4e30-89d4-21d5d958abc0,Distributor B,Location W,Model Z,Manufacturer A,Truck,Red,Manual,7,4,Diesel,2023,7200,51762,227,2022-12-07,Un Sold,,6047,,,Agent D,1,0,Excellent
1fc26d6a-e3ee-4140-bf7d-bb1641f6e6db,Distributor B,Location X,Model Z,Manufacturer B,Convertible,Blue,Automatic,7,4,Diesel,2021,8900,32059,94,2022-05-27,Un Sold,,8396,,,Agent A,1,0,Excellent
7e056118-926f-4bf8-8ba8-8597c48d8324,Distributor D,Location W,Model Y,Manufacturer B,Truck,Blue,Automatic,4,4,Electric,2022,8700,66168,103,2023-02-11,Un Sold,,7785,,,Agent D,2,0,Average
d72c1121-d721-40d2-9b28-0ed4bcef7ef5,Distributor D,Location Z,Model X,Manufacturer B,Truck,Gray,Automatic,5,4,Diesel,2024,7100,36395,103,2024-12-31,Sold,2024-06-24,5718,5715,-0.05246589716684155,Agent E,2,0,Average
906d9b9a-6f4a-444a-a868-3f3cbd1ecf60,Distributor D,Location W,Model Y,Manufacturer C,Truck,Black,Manual,4,5,Petrol,2023,7100,40349,90,2023-06-15,Un Sold,,6318,,,Agent D,2,0,Excellent
eefed296-eb4d-4fa2-a2ee-bd66a64bbd13,Distributor B,Location W,Model X,Manufacturer C,Sedan,Red,Manual,5,4,Hybrid,2015,8400,74879,91,2019-09-15,Un Sold,,6456,,,Agent E,3,0,Poor
9808ae8a-a10d-4370-9a99-21287c1d5ab5,Distributor C,Location X,Model Y,Manufacturer B,Sedan,Red,Automatic,4,2,Hybrid,2024,7500,72662,108,2018-10-13,Sold,2023-06-12,6926,6928,0.028876696505919723,Agent D,2,0.004,Average
45a6a193-c988-4c7e-a396-ee7a13acb215,Distributor C,Location X,Model X,Manufacturer A,Truck,Black,Automatic,7,5,Petrol,2024,7000,30975,103,2019-03-12,Un Sold,,5866,,,Agent E,3,0,Excellent
6c7b616a-53cd-4396-85f4-9fc4306da737,Distributor A,Location W,Model Z,Manufacturer A,SUV,Black,Manual,5,4,Petrol,2020,7900,8092,99,2016-01-28,Un Sold,,7077,,,Agent E,1,0,Good
e2c9b2a5-c548-412d-a932-9fa4d859ab28,Distributor C,Location W,Model Y,Manufacturer B,SUV,Red,Automatic,4,5,Hybrid,2016,9300,36936,105,2020-09-14,Un Sold,,8135,,,Agent A,1,0,Average
f7ad2e0e-1ba9-4b28-bc3e-ea4c2f6e0f8e,Distributor C,Location Z,Model Y,Manufacturer C,Truck,Black,Manual,2,4,Electric,2019,9000,63688,102,2022-08-23,Un Sold,,7074,,,Agent A,3,0,Poor
65b57445-150e-4e1b-a75e-b4baab57e969,Distributor C,Location Z,Model X,Manufacturer B,Truck,White,Automatic,7,4,Hybrid,2021,8300,7880,109,2024-05-17,Sold,2024-03-07,6549,6555,0.09161704076958314,Agent C,5,0.012,Good
7e2b390b-b618-469d-9e1c-1e6f940cc994,Distributor A,Location Y,Model Y,Manufacturer A,Convertible,Blue,Automatic,4,5,Hybrid,2022,9700,16130,97,2016-06-26,Sold,2017-11-23,8199,8197,-0.02439321868520551,Agent E,4,0,Poor
08417ccc-dcf1-4a05-bede-29a20e491113,Distributor C,Location W,Model Z,Manufacturer B,Truck,Black,Automatic,5,5,Hybrid,2024,8000,66095,106,2015-11-02,Un Sold,,7434,,,Agent A,4,0,Excellent
c873b7ad-1485-4f29-933f-56edd27ad6e6,Distributor C,Location W,Model Y,Manufacturer A,Truck,Gray,Automatic,5,4,Diesel,2024,7100,23644,95,2024-06-29,Un Sold,,6153,,,Agent B,4,0,Excellent
1aa548bd-f302-4493-85c6-c88b2306f259,Distributor A,Location Y,Model Y,Manufacturer B,Truck,Blue,Automatic,4,2,Electric,2022,8700,479736,254,2023-02-27,Un Sold,,7830,,,Agent A,1,0,Poor
c4efe87f-0ba8-4b00-a246-08d9a28bdbac,Distributor D,Location Z,Model Y,Manufacturer A,Sedan,Gray,Automatic,4,4,Diesel,2017,7300,22145,92,2019-07-19,Un Sold,,6556,,,Agent E,2,0,Poor
6feda73d-7807-4a46-aed8-8328ca850911,Distributor A,Location Z,Model Y,Manufacturer B,Truck,Blue,Manual,2,4,Electric,2022,8700,7181,98,2017-10-21,Un Sold,,7279,,,Agent E,4,0,Good
891cef08-959b-4f79-b377-719398787e49,Distributor C,Location W,Model X,Manufacturer A,Truck,White,Automatic,5,4,Petrol,2018,7600,66349,92,2023-05-29,Un Sold,,5634,,,Agent B,5,0,Good
d9b859d5-43fe-4e62-8a1d-3eab16d7fe17,Distributor C,Location W,Model Z,Manufacturer B,SUV,Blue,Automatic,5,5,Electric,2021,9300,42469,346,2019-02-06,Sold,2024-10-22,8618,8623,0.058018101647714086,Agent D,4,0.01,Good
a1a19f4d-280c-4c31-9849-19c92d49da64,Distributor B,Location Y,Model X,Manufacturer B,Truck,Red,Manual,5,2,Electric,2017,9200,809234,109,2022-02-15,Un Sold,,7839,,,Agent C,2,0,Good
