ID,Distributor Name,Location,Car Name,Manufacturer Name,Car Type,Color,Gearbox,Number of Seats,Number of Doors,Energy,Manufactured Year,Price,Mileage,Engine Power,Purchased Date,Car Sale Status,Sold Date,Purchased Price,Sold Price,Margin,Sales Agent Name,Sales Rating,Sales Commission,Feedback
CQ53K4,Sobri,Tucson,Seltos,Kia,Hatchback,Blue,Manual,4,4,Diesel,2024,6100,33413,106,2020-05-10,Un Sold,,4381,,,Agent A,2,0,Good
QWJF1J,Skipper,Florida,Swift,Maruti,Sedan,White,Automatic,5,4,Hybrid,2022,7700,11922,95,2019-03-31,Un Sold,,6809,,,Agent E,1,0,Poor
CJJ8D4,Ahg,Denver,Scorpio,Mahindra,SUV,Black,Manual,4,4,Electric,2017,9700,5797,108,2024-06-27,Un Sold,,8740,,,Agent D,3,0,Good
961O1V,Carro,Madison,Creta,Hyundai,Hatchback,Red,Manual,5,4,Diesel,2019,6600,418938,97,2015-03-03,Un Sold,,4764,,,Agent E,2,0,Excellent
4U82AM,Carmudi,Columbus,Dzire,Maruti,Sedan,Blue,Automatic,5,5,Hybrid,2016,8300,46742,91,2018-06-15,Un Sold,,7702,,,Agent C,1,0,Excellent
LOPHMJ,Carsome,New York,Etriga,Maruti,Hatchback,Red,Manual,5,4,Petrol,2023,6100,8830,99,2021-04-24,Un Sold,,4839,,,Agent B,5,0,Average
GOVIC0,Ahg,New York,Etriga,Maruti,Hatchback,Blue,Automatic,5,2,Petrol,2024,6000,31241,92,2017-12-03,Sold,2021-08-25,4303,4314,0.2556356030676272,Agent C,4,0.022,Excellent
KJUZV4,Carsome,Columbus,Fortuner,Toyota,SUV,Blue,Manual,4,4,Electric,2016,9800,22958,100,2015-03-12,Un Sold,,8752,,,Agent E,4,0,Good
QPZEB3,Zupps,New York,Dzire,Maruti,Sedan,White,Automatic,4,5,Electric,2023,8100,928643,97,2021-09-15,Sold,2023-08-10,7475,7468,-0.09364548494983278,Agent A,5,0,Poor
7ZV5PV,Oto,Columbus,Seltos,Kia,Hatchback,Black,Automatic,7,4,Electric,2020,7900,61811,110,2021-05-17,Un Sold,,6784,,,Agent E,1,0,Excellent
3V77XB,Carsome,Tennessee,Swift,Maruti,Sedan,White,Manual,7,2,Diesel,2020,7000,67917,109,2018-06-17,Un Sold,,5975,,,Agent D,5,0,Average
4YUU27,Carousell,Texas,Fortuner,Toyota,SUV,Black,Automatic,4,5,Electric,2018,9600,69884,92,2022-06-27,Sold,2023-06-21,9013,9019,0.06657050926439588,Agent B,3,0.012,Excellent
EWGP79,Zupps,Portland,Creta,Hyundai,Hatchback,Gray,Automatic,4,4,Electric,2024,7500,23014,106,2016-10-24,Sold,2021-10-05,6875,6867,-0.11636363636363636,Agent C,4,0,Excellent
UJFHAC,Kamkar,California,Fortuner,Toyota,SUV,Black,Automatic,4,4,Diesel,2020,8000,24856,101,2019-03-16,Un Sold,,7194,,,Agent E,5,0,Poor
I5TN1I,Carsome,Madison,Dzire,Maruti,Sedan,Red,Automatic,4,4,Diesel,2018,7200,128732,255,2015-04-30,Un Sold,,6368,,,Agent D,3,0,Average
